Automated IT Compliance,Back-end Applications,Cloud migration,Consulting,Data Backups,Front-End Applications,Network Monitoring and Security,Network Support,Risk Assessments,datetime,email,industry
125.0,0,0.0,0,0.0,50,0,0.0,500.0,2018-10-20 13:28:11.084879,aliddle@rsitex.com,Defense
0.0,0,0.0,0,500.0,0,125,125.0,0.0,2018-10-15 13:28:37.584167,aliddle@rsitex.com,Energy/Utility
125.0,0,0.0,0,0.0,0,0,0.0,500.0,2018-11-22 13:29:26.569609,aliddle@rsitex.com,Healthcare/Pharmaceutical
0.0,0,0.0,0,500.0,0,125,125.0,0.0,2018-11-01 13:29:45.710255,aliddle@rsitex.com,Retail
0.0,0,5000.0,0,0.0,0,0,0.0,0.0,2018-12-20 13:30:02.088703,aliddle@rsitex.com,Business Services
0.0,0,0.0,0,500.0,0,125,190.0,0.0,2018-12-20 13:38:38.157606,aliddle@rsitex.com,MSP/MSSP/ISP/Cloud Provider/Hosting/ect
125.0,0,0.0,0,0.0,0,0,125.0,500.0,2018-12-02 17:57:36.943877,aliddle@rsitex.com,Defense
125.0,0,0.0,0,0.0,50,0,0.0,500.0,2019-01-20 13:28:11.084879,aliddle@rsitex.com,Defense
0.0,0,0.0,0,500.0,0,125,125.0,0.0,2019-02-15 13:28:37.584167,aliddle@rsitex.com,Energy/Utility
125.0,0,0.0,0,0.0,0,0,0.0,500.0,2019-03-22 13:29:26.569609,aliddle@rsitex.com,Healthcare/Pharmaceutical
0.0,0,0.0,0,500.0,0,125,125.0,0.0,2019-03-01 13:29:45.710255,aliddle@rsitex.com,Retail
0.0,0,5000.0,0,0.0,0,0,0.0,0.0,2019-05-20 13:30:02.088703,aliddle@rsitex.com,Business Services
0.0,0,0.0,0,500.0,0,125,190.0,0.0,2019-06-20 13:38:38.157606,aliddle@rsitex.com,MSP/MSSP/ISP/Cloud Provider/Hosting/ect
125.0,0,0.0,0,0.0,0,0,125.0,500.0,2019-07-02 17:57:36.943877,aliddle@rsitex.com,Defense
0.0,375,0.0,375,0.0,375,0,0.0,0.0,2019-08-15 13:29:07.414829,aliddle@rsitex.com,Financial/Insurance
125.0,0,0.0,0,0.0,0,0,0.0,500.0,2019-1-08 13:29:26.569609,aliddle@rsitex.com,Healthcare/Pharmaceutical
